Day,Lab Test,Confirmed case,Death Case
2021-January-26,14401,515,14
2021-January-27,15720,528,17
2021-January-28,14830,509,15
2021-January-29,12075,454,7
2021-January-30,12084,363,17
2021-January-31,12225,369,16
2021-February-01,12475,443,10
2021-February-02,14452,525,12
2021-February-03,14985,438,13
2021-February-04,15273,485,13
2021-February-05,15566,435,7
2021-February-06,12135,305,8
2021-February-07,12404,292,15
2021-February-08,13762,316,16
2021-February-09,14468,387,8
2021-February-10,14999,388,10
2021-February-11,15776,418,9
2021-February-12,14328,404,5
2021-February-13,12871,291,13
2021-February-14,12900,326,8
2021-February-15,14138,446,11
2021-February-16,14788,396,13
2021-February-17,16612,443,16
2021-February-18,14603,391,15
2021-February-19,14232,406,8
2021-February-20,11148,350,5
2021-February-21,14036,327,7
2021-February-22,11103,366,7
2021-February-23,12748,399,18
2021-February-24,16152,428,5
2021-February-25,15560,410,5
2021-February-26,15032,470,11
2021-February-27,12348,407,5
2021-February-28,13411,385,8
2021-March-01,13570,585,8
2021-March-02,15325,515,7
2021-March-03,16414,614,5
2021-March-04,15985,619,7
2021-March-05,13710,635,6
2021-March-06,13082,540,10
2021-March-07,14092,606,11
2021-March-08,16958,845,14
2021-March-09,17775,912,13
2021-March-10,17032,1018,7
2021-March-11,18058,1051,6
2021-March-12,16111,1066,13
2021-March-13,16206,1014,12
2021-March-14,16206,1159,18
2021-March-15,18695,1773,26
2021-March-16,20748,1719,26
2021-March-17,24275,1865,11
2021-March-18,20925,2187,16
2021-March-19,18917,1899,18
2021-March-20,19900,1868,26
2021-March-21,21108,2172,22
2021-March-22,25111,2809,30
2021-March-23,25954,3554,18
2021-March-24,27502,3567,25
2021-March-25,27045,3587,34
2021-March-26,27299,3737,33
2021-March-27,24664,3674,39
2021-March-28,22136,3908,35
2021-March-29,28195,5181,45
2021-March-30,26620,5042,45
2021-March-31,26931,5358,52
2021-April-01,28191,6469,59
2021-April-02,30293,6830,50
2021-April-03,24100,5683,58
2021-April-04,30724,7087,53
2021-April-05,30239,7075,52
2021-April-06,34311,7213,66
2021-April-07,34630,7626,63
2021-April-08,33193,6854,74
2021-April-09,31654,7462,63
2021-April-10,26077,5343,77
2021-April-11,29376,5819,78
2021-April-12,34968,7201,83
2021-April-13,32955,6028,69
2021-April-14,24825,5185,96
2021-April-15,19959,4192,94
2021-April-16,18906,4417,101
2021-April-17,16185,3473,101
2021-April-18,19404,3698,102
2021-April-19,24152,4271,112
2021-April-20,27056,4559,91
2021-April-21,28408,4280,95
2021-April-22,27429,4014,98
2021-April-23,25896,3629,88
2021-April-24,20571,2697,83
2021-April-25,21922,2922,101
2021-April-26,25786,3306,97
2021-April-27,24237,3031,78
2021-April-28,28206,2955,77
2021-April-29,24928,2341,88
2021-April-30,21046,2177,57
2021-May-01,15117,1452,60
2021-May-02,14158,1359,69
2021-May-03,19431,1739,65
2021-May-04,21984,1914,61
2021-May-05,20284,1742,50
2021-May-06,21585,1822,41
2021-May-07,17013,1682,37
2021-May-08,14703,1285,45
2021-May-09,16915,1386,56
2021-May-10,16848,1514,38
2021-May-11,14184,1230,33
2021-May-12,15296,1140,40
2021-May-13,13471,1290,31
2021-May-14,7835,848,26
2021-May-15,3758,261,22
2021-May-16,5430,363,25
2021-May-17,10347,698,32
2021-May-18,16855,1272,30
2021-May-19,20528,1608,37
2021-May-20,19437,1457,36
2021-May-21,18294,1504,26
2021-May-22,12230,1028,38
2021-May-23,15205,1354,28
